Mean,Variance,InboundsScore
0.033333,0.033333,0.000000
0.033333,0.033333,0.506849
0.033333,0.033333,0.506849
0.066667,0.064368,0.500000
0.066667,0.064368,0.500000
0.066667,0.064368,0.500000
0.066667,0.064368,0.500000
0.166667,0.143678,0.529412
0.166667,0.143678,0.571429
0.100000,0.093103,0.547368
0.100000,0.093103,0.557895
0.100000,0.093103,0.557895
0.100000,0.093103,0.550000
0.100000,0.093103,0.550000
0.100000,0.093103,0.554455
0.100000,0.093103,0.558824
0.100000,0.093103,0.557692
0.100000,0.093103,0.557692
0.100000,0.093103,0.561905
0.100000,0.093103,0.561905
0.100000,0.093103,0.561905
0.100000,0.093103,0.561905
0.100000,0.093103,0.561905
0.100000,0.093103,0.561905
0.100000,0.093103,0.570093
0.100000,0.093103,0.564815
0.100000,0.093103,0.564815
0.100000,0.093103,0.574074
0.100000,0.093103,0.567568
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.594595
0.100000,0.093103,0.601770
0.100000,0.093103,0.601770
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.100000,0.093103,0.605263
0.133333,0.119540,0.605263
0.133333,0.119540,0.605263
